Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),
Configuration Field Inputs,50,50,7,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.969227600101,81.6348788756,0.129483621087,-176.174182765,0.129483621087,-176.174182765,0.0828322718609,-0.490327343056,0.0828322718609,-0.490327343056,0.016000981293,79.9834471516,0.016000981293,79.9834471516,50.0,-4.03974093586,
 ,0.02,0.96922690567,81.6350179348,0.129483139296,-176.174094719,0.129483139296,-176.174094719,0.0828318332747,-0.490288053558,0.0828318332747,-0.490288053558,0.0160009698286,79.9835862108,0.0160009698286,79.9835862108,49.9998679527,-1.48554776103,
 ,0.04,0.969227099514,81.6351640905,0.12948222342,-176.173946327,0.12948222342,-176.173946327,0.0828309103595,-0.490187439799,0.0828309103595,-0.490187439799,0.0160009730287,79.9837323665,0.0160009730287,79.9837323665,49.9998141974,-0.546238779348,
 ,0.06,0.969227748494,81.6353469557,0.129480895904,-176.17371975,0.129480895904,-176.17371975,0.0828295481823,-0.490010061929,0.0828295481823,-0.490010061929,0.0160009837428,79.9839152317,0.0160009837428,79.9839152317,49.999767256,-0.200714644905,
 ,0.08,0.969228602849,81.6355698103,0.129479394655,-176.173379135,0.129479394655,-176.173379135,0.0828279903642,-0.489687742992,0.0828279903642,-0.489687742992,0.0160009978473,79.9841380863,0.0160009978473,79.9841380863,49.9997226634,-0.073615848593,
 ,0.1,0.919421888978,83.2172156072,0.159381620222,178.541571655,0.159381620222,178.541571655,0.116469412265,-6.9710983716,0.116469412265,-6.9710983716,0.0151787386619,81.5657838831,0.0151787386619,81.5657838831,50.0960120347,-0.425638342039,
 ,0.12,0.915910316644,83.8731194928,0.157539873245,178.43034618,0.157539873245,178.43034618,0.115007248053,-7.42089230164,0.115007248053,-7.42089230164,0.015120766104,82.2216877688,0.015120766104,82.2216877688,50.0428909509,0.0918433696209,
 ,0.14,0.915849555384,84.6470146607,0.15561022438,178.151154598,0.15561022438,178.151154598,0.113396678318,-8.18489707838,0.113396678318,-8.18489707838,0.0151197629962,82.9955829367,0.0151197629962,82.9955829367,50.0217238576,0.131814232444,
 ,0.16,0.917272948478,85.5729130701,0.153638882118,177.892786584,0.153638882118,177.892786584,0.111742920701,-9.00458657515,0.111742920701,-9.00458657515,0.0151432617969,83.9214813461,0.0151432617969,83.9214813461,50.0151481715,0.0776681151819,
 ,0.18,0.963564156939,85.7244097171,0.120367200471,-179.23472405,0.120367200471,-179.23472405,0.0758363861353,-8.30178189774,0.0758363861353,-8.30178189774,0.0159074834932,84.0729779931,0.0159074834932,84.0729779931,49.9010084622,0.935072924499,
 ,0.2,0.97447935322,86.3010619516,0.119487502091,-179.012968342,0.119487502091,-179.012968342,0.0746025331383,-8.558251184,0.0746025331383,-8.558251184,0.0160876825006,84.6496302276,0.0160876825006,84.6496302276,49.9670892097,0.0338366838288,
 ,0.22,0.979275065486,87.0405069873,0.119109387916,-178.203696775,0.119109387916,-178.203696775,0.0739927461859,-7.83203124515,0.0739927461859,-7.83203124515,0.0161668549284,85.3890752633,0.0161668549284,85.3890752633,49.9969074206,-0.128530102914,
 ,0.24,0.980842633928,87.7823965736,0.119916193717,-176.719558042,0.119916193717,-176.719558042,0.0744668159722,-5.83364857559,0.0744668159722,-5.83364857559,0.0161927339205,86.1309648496,0.0161927339205,86.1309648496,50.0113870393,-0.116073745196,
 ,0.26,0.980465567609,88.5246553443,0.121481712612,-174.866247773,0.121481712612,-174.866247773,0.0756776909052,-3.13958747969,0.0756776909052,-3.13958747969,0.0161865089315,86.8732236203,0.0161865089315,86.8732236203,50.0186809659,-0.077327659028,
 ,0.28,0.979085394665,89.2818959815,0.123289264998,-172.946751895,0.123289264998,-172.946751895,0.0771933840253,-0.336452766835,0.0771933840253,-0.336452766835,0.0161637236523,87.6304642576,0.0161637236523,87.6304642576,50.0219877436,-0.043795297146,
 ,0.3,0.977391899104,90.066370663,0.124955289744,-171.160428036,0.124955289744,-171.160428036,0.0786603863286,2.20074420352,0.0786603863286,2.20074420352,0.0161357657291,88.414938939,0.0161357657291,88.414938939,50.0226473813,-0.0185161962687,
 ,0.32,0.975816833059,90.8849367857,0.126281802562,-169.603081037,0.126281802562,-169.603081037,0.0798727103386,4.30543381181,0.0798727103386,4.30543381181,0.0161097629592,89.2335050617,0.0161097629592,89.2335050617,50.0213872129,0.000198163569151,
 ,0.34,0.974571925597,91.7391124204,0.12723421524,-168.295298483,0.12723421524,-168.295298483,0.0807749435142,5.95361639205,0.0807749435142,5.95361639205,0.0160892107782,90.0876806965,0.0160892107782,90.0876806965,50.0187376865,0.0138725441084,
 ,0.36,0.973709170963,92.626174429,0.127887366409,-167.211868986,0.127887366409,-167.211868986,0.0814223153047,7.20150167789,0.0814223153047,7.20150167789,0.0160749675594,90.974742705,0.0160749675594,90.974742705,50.0151544305,0.0234231956671,
 ,0.38,0.973183249788,93.5405974925,0.128365520202,-166.304358579,0.128365520202,-166.304358579,0.0819244821111,8.142402587,0.0819244821111,8.142402587,0.0160662851252,91.8891657686,0.0160662851252,91.8891657686,50.0110412473,0.0294472045536,
 ,0.4,0.972903301144,94.475433572,0.128793980445,-165.516901334,0.128793980445,-165.516901334,0.0823962445221,8.87923888401,0.0823962445221,8.87923888401,0.0160616634522,92.8240018479,0.0160616634522,92.8240018479,50.0067455881,0.0324510748081,
 ,0.42,0.972769160808,95.4234138105,0.129269665792,-164.796720567,0.129269665792,-164.796720567,0.0829264345245,9.50703382593,0.0829264345245,9.50703382593,0.016059448929,93.7719820865,0.016059448929,93.7719820865,50.0025511316,0.0329443459274,
