Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),
Configuration Field Inputs,50,50,3,0,0,15,V1,v,10000,I2,c,100,I3,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.974738959004,-7.40996581212,0.26289086093,144.321789989,0.26289086093,144.321789989,50.0,-8.06829807582,
 ,0.02,0.974733845256,-7.40976802664,0.262889554688,144.322629353,0.262889554688,144.322629353,49.9999824281,-2.96808111252,
 ,0.04,0.974732550953,-7.40953978814,0.262891563939,144.323503089,0.262891563939,144.323503089,49.9999732665,-1.0918505023,
 ,0.06,0.97473427031,-7.40922435466,0.262894965176,144.324829635,0.262894965176,144.324829635,49.9999648676,-0.401627356089,
 ,0.08,0.974737905384,-7.40883311378,0.262898831793,144.326583124,0.262898831793,144.326583124,49.9999572695,-0.147712624129,
 ,0.1,0.972466806749,-7.59263040674,0.252025656704,144.145221717,0.252025656704,144.145221717,49.8238974722,0.744989644579,
 ,0.12,0.972155333841,-7.63111255008,0.250983835378,144.158048726,0.250983835378,144.158048726,49.8630586072,0.0995891599428,
 ,0.14,0.972137647976,-7.67137954203,0.250316909628,144.113676002,0.250316909628,144.113676002,49.8634648697,0.0436898093378,
 ,0.16,0.97234791922,-7.72162155215,0.249738839114,144.021681806,0.249738839114,144.021681806,49.849906648,0.0876425375533,
 ,0.18,0.974618143382,-7.65281340517,0.258014361229,143.939889696,0.258014361229,143.939889696,49.9940167159,-1.16827200947,
 ,0.2,0.975454080662,-7.69688638783,0.258984661195,143.800097673,0.258984661195,143.800097673,49.9361841425,-0.141973204629,
 ,0.22,0.975965001741,-7.76831607896,0.259323373186,143.662372243,0.259323373186,143.662372243,49.9095217611,0.0673891018783,
 ,0.24,0.976121419225,-7.85912249454,0.259495185266,143.547891711,0.259495185266,143.547891711,49.9068926323,0.0326733684448,
 ,0.26,0.975970402887,-7.96521624644,0.259638489432,143.448680169,0.259638489432,143.448680169,49.9105738085,-0.00675598972249,
 ,0.28,0.975607057327,-8.08206764674,0.259819916952,143.360123794,0.259819916952,143.360123794,49.9123751317,-0.00998434353273,
 ,0.3,0.975141374275,-8.20496526105,0.260068659017,143.281453937,0.260068659017,143.281453937,49.9100106226,0.00995786773649,
 ,0.32,0.974673806918,-8.32975338079,0.260382538167,143.213304015,0.260382538167,143.213304015,49.9039921912,0.0351457063921,
 ,0.34,0.974280166706,-8.4533200348,0.260738658474,143.156124595,0.260738658474,143.156124595,49.8958751199,0.0542582525654,
 ,0.36,0.974004755862,-8.57380288562,0.261105027719,143.10939347,0.261105027719,143.10939347,49.8873064804,0.0629389253932,
 ,0.38,0.973860550878,-8.69054504085,0.261450017615,143.071389142,0.261450017615,143.071389142,49.8795727398,0.0615063228047,
 ,0.4,0.97383464002,-8.80386444523,0.261748443034,143.03934685,0.261748443034,143.03934685,49.8734643073,0.0525816037398,
 ,0.42,0.973896728163,-8.91471418723,0.26198440557,143.009868502,0.26198440557,143.009868502,49.8693185279,0.0393679996124,
 ,0.44,0.9740085291,-9.02430948863,0.262151723011,142.979485756,0.262151723011,142.979485756,49.867137873,0.0246740210335,
 ,0.46,0.974132225672,-9.13378483281,0.262252911878,142.945279121,0.262252911878,142.945279121,49.8667182438,0.0105223544305,
 ,0.48,0.974236769538,-9.24392629679,0.262297523044,142.905448798,0.262297523044,142.905448798,49.8677552378,-0.00187549756224,
 ,0.5,0.974301464993,-9.35500342374,0.262300351811,142.859735148,0.262300351811,142.859735148,49.8699183355,-0.0119662077025,
 ,0.52,0.974316894632,-9.46670495958,0.2622797861,142.809610538,0.2622797861,142.809610538,49.8728947616,-0.0196479283839,
 ,0.54,0.97428369837,-9.57816608486,0.262256374408,142.758208095,0.262256374408,142.758208095,49.876409633,-0.025078128464,
 ,0.56,0.974209964608,-9.68806335101,0.262251589495,142.710004409,0.262251589495,142.710004409,49.8802301163,-0.0285255834873,
 ,0.58,0.97410803907,-9.79474830487,0.262286714041,142.670317645,0.262286714041,142.670317645,49.8841606483,-0.0302736116053,
 ,0.6,0.973991446932,-9.89639146957,0.262381763118,142.644709367,0.262381763118,142.644709367,49.8880348469,-0.0305697952327,
 ,0.62,0.973872420167,-9.99111358696,0.262554377127,142.638384475,0.262554377127,142.638384475,49.8917080378,-0.029611827265,
 ,0.64,0.973760287086,-10.0770888341,0.262818663277,142.655672243,0.262818663277,142.655672243,49.8950526213,-0.0275571692209,
 ,0.66,0.973660765148,-10.1526130625,0.263184025398,142.699649161,0.263184025398,142.699649161,49.8979570089,-0.0245445886128,
 ,0.68,0.973576033482,-10.2161373366,0.263654085828,142.771937448,0.263654085828,142.771937448,49.9003277192,-0.0207176193386,
 ,0.7,0.973505362655,-10.266272202,0.264225851285,142.872686379,0.264225851285,142.872686379,49.9020935206,-0.0162429431411,
 ,0.72,0.973446045307,-10.3017708943,0.264889291338,143.00071979,0.264889291338,143.00071979,49.9032102448,-0.0113199544872,
 ,0.74,0.973394390795,-10.3215003478,0.265627475598,143.153814309,0.265627475598,143.153814309,49.9036649828,-0.0061806992429,
 ,0.76,0.973346602176,-10.3244079211,0.266417356108,143.329060607,0.266417356108,143.329060607,49.903478686,-0.0010815052823,
 ,0.78,0.973299425288,-10.3094898773,0.267231195832,143.52325565,0.267231195832,143.52325565,49.9027065874,0.00371121597888,
 ,0.8,0.973250530002,-10.2757654448,0.268038549652,143.733277552,0.268038549652,143.733277552,49.9014362397,0.00793819334943,
 ,0.82,0.973198640636,-10.222258208,0.268808619304,143.95640493,0.268808619304,143.95640493,49.899783284,0.0113649387524,
 ,0.84,0.973143469487,-10.1479849464,0.269512743852,144.190556767,0.269512743852,144.190556767,49.8978853183,0.0137976049608,
 ,0.86,0.973085523843,-10.0519509852,0.270126762195,144.434443393,0.270126762195,144.434443393,49.8958944249,0.0150952916917,
 ,0.88,0.973025856099,-9.93315064178,0.270632996114,144.687631204,0.270632996114,144.687631204,49.8939690522,0.0151775279014,
 ,0.9,0.972965814272,-9.79057135469,0.271021647012,144.950531506,0.271021647012,144.950531506,49.8922659776,0.0140263159377,
