Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,1.02,0.940970793458,118.872300687,1.01957750937,89.6562813151,49.9617925134,0.0310490102515,
 ,1.04,0.940854767077,119.458627125,1.01945179039,90.2426077533,49.9576604956,0.0322753466987,
 ,1.06,0.940748493528,120.020086791,1.01933663898,90.8040674194,49.9533614972,0.0335679560234,
 ,1.08,0.940652429094,120.556715502,1.01923254952,91.3406961301,49.948895261,0.0348832531759,
 ,1.1,0.940567876707,121.068669413,1.01914093381,91.8526500417,49.9442693729,0.0361652717067,
 ,1.12,0.940496964901,121.556244354,1.01906409818,92.3402249824,49.9395001244,0.0373494139779,
 ,1.14,0.940442491978,122.01989297,1.0190050747,92.8038735985,49.9346126939,0.0383672927665,
 ,1.16,0.940407659713,122.460238203,1.01896733262,93.2442188311,49.9296405999,0.039152176618,
 ,1.18,0.940395736286,122.878081171,1.01895441314,93.6620617998,49.9246244542,0.039644486237,
 ,1.2,0.940409696417,123.274401127,1.01896953947,94.0583817551,49.9196101136,0.0397967935613,
 ,1.22,0.940451887805,123.650345151,1.01901525544,94.4343257792,49.9146463817,0.0395778421529,
 ,1.24,0.940523768337,124.007205962,1.01909314072,94.79118659,49.9097824577,0.038975222863,
 ,1.26,0.940625749615,124.346387503,1.0192036413,95.1303681312,49.9050653414,0.037996483914,
 ,1.28,0.94075717005,124.669359693,1.01934604032,95.4533403219,49.9005374062,0.036668610313,
 ,1.3,0.940916404917,124.977605355,1.01951857733,95.7615859833,49.8962343315,0.0350359567241,
 ,1.32,0.941101101753,125.272563536,1.01971870335,96.0565441643,49.892183548,0.0331568473342,
 ,1.34,0.941308508657,125.555573972,1.01994343659,96.3395546005,49.8884033064,0.0310991570878,
 ,1.36,0.941535844049,125.827827208,1.0201897631,96.611807836,49.8849024259,0.0289352564275,
 ,1.38,0.941780643773,126.090324128,1.02045501288,96.8743047567,49.8816807233,0.0267367353765,
 ,1.4,0.942041019648,126.343847552,1.02073714,97.1278281808,49.8787300729,0.024569324,
 ,1.42,0.942315775102,126.588947387,1.02103484795,97.3729280149,49.8760359981,0.0224883981952,
 ,1.44,0.942604347606,126.82593988,1.02134752719,97.6099205082,49.8735796571,0.0205354064339,
