Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),
Configuration Field Inputs,50,50,4,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.0167793296,90.8709284799,1.80629003954,-179.129955562,0.965288676517,-179.128244391,0.965288676517,-179.128244391,50.0,-8.03150800468,
 ,0.02,1.01677910808,90.8709591491,1.80628330045,-179.129472876,0.965291638831,-179.128636641,0.965291638831,-179.128636641,49.9999936611,-2.95459720151,
 ,0.04,1.01677908863,90.8710039462,1.8062827406,-179.129065646,0.965291882962,-179.128930943,0.965291882962,-179.128930943,49.9999895707,-1.08691499062,
 ,0.06,1.0167791842,90.8710592951,1.80628430464,-179.128563297,0.965291276604,-179.129293814,0.965291276604,-179.129293814,49.9999851433,-0.3998312054,
 ,0.08,1.01677934822,90.8711274336,1.80628676005,-179.127950079,0.965290350484,-179.129735663,0.965290350484,-179.129735663,49.9999802751,-0.14706503768,
 ,0.1,0.99362674595,91.9216618075,1.40349929757,-171.510751271,1.13159406477,177.854319379,1.13159406477,177.854319379,49.9450749328,0.209475144676,
 ,0.12,0.992556183161,92.3203076394,1.36623788431,-168.820987729,1.15375716629,177.088834013,1.15375716629,177.088834013,49.9419880859,0.0982958024187,
 ,0.14,0.994258665716,92.6806987353,1.35362470926,-165.861639327,1.17146546356,176.090562565,1.17146546356,176.090562565,49.9275954469,0.111575963052,
 ,0.16,0.996543087486,93.1005956285,1.35482388683,-162.391173317,1.18762460918,174.885242063,1.18762460918,174.885242063,49.9089282406,0.135627389537,
 ,0.18,1.01809053494,93.1236538563,1.68316442687,-165.043556104,1.06126923809,173.765303786,1.06126923809,173.765303786,49.9300099548,-0.174086041737,
 ,0.2,1.02442434822,93.1257495184,1.77994764148,-164.562763533,1.03059684999,172.515222895,1.03059684999,172.515222895,49.916760549,0.00603556413062,
 ,0.22,1.02469672055,93.4700924888,1.83095656149,-162.681840516,1.01797596271,171.039975803,1.01797596271,171.039975803,49.9080887107,0.0420563226583,
 ,0.24,1.02271727982,93.8660817449,1.86816960398,-160.860935336,1.0087207291,169.747608389,1.0087207291,169.747608389,49.9055604862,0.0269785895167,
 ,0.26,1.02021554204,94.2881881506,1.89346772645,-159.160189494,1.00414182395,168.707674322,1.00414182395,168.707674322,49.9039891545,0.0181177439913,
 ,0.28,1.01814120474,94.7362370138,1.90809770827,-157.5646512,1.00481883135,167.958648655,1.00481883135,167.958648655,49.901080097,0.0220302650128,
 ,0.3,1.01684673071,95.2120059014,1.91469523873,-156.062858931,1.00978900142,167.492551281,1.00978900142,167.492551281,49.8964148473,0.0322463014029,
 ,0.32,1.01628840542,95.7170123608,1.9164253348,-154.653579032,1.01727726936,167.269838159,1.01727726936,167.269838159,49.8903847049,0.0426275836082,
 ,0.34,1.01623544273,96.252591483,1.91605461936,-153.342163202,1.02544959339,167.242544579,1.02544959339,167.242544579,49.8836303187,0.049816942229,
 ,0.36,1.0164283214,96.8200928037,1.91542980496,-152.134796666,1.03289332764,167.371205032,1.03289332764,167.371205032,49.8767719604,0.0527531583873,
 ,0.38,1.01666687013,97.4209729598,1.91539021789,-151.033969512,1.03879421813,167.631638277,1.03879421813,167.631638277,49.8702951013,0.0517489321788,
 ,0.4,1.01683759499,98.0568076923,1.91597330963,-150.036505161,1.04288840565,168.013992655,1.04288840565,168.013992655,49.8645223652,0.0477378680192,
 ,0.42,1.01690245794,98.7292585958,1.91674030261,-149.133970158,1.04529807745,168.518023437,1.04529807745,168.518023437,49.8596311763,0.0417808687132,
 ,0.44,1.0168715404,99.4400124685,1.91708815104,-148.314472809,1.04634404797,169.147725824,1.04634404797,169.147725824,49.8556905554,0.0347968743293,
 ,0.46,1.01677564944,100.190700562,1.91647534152,-147.564793086,1.04639315422,169.907090931,1.04639315422,169.907090931,49.8527004838,0.0274559147877,
 ,0.48,1.01664697159,100.982803319,1.91454281863,-146.872165541,1.04576262636,170.79764551,1.04576262636,170.79764551,49.8506249813,0.0201736993591,
