Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.976905766826,-7.60396159988,0.283998923541,144.935743468,0.35210836698,153.981668732,0.390288813761,158.578521785,0.123623357167,53.4749745478,50.0,1.03854849294,
 ,0.02,0.976901603823,-7.60372175876,0.283993558232,144.934510429,0.352113701013,153.983178929,0.390288848028,158.579215197,0.12362305387,53.474953429,49.9999790554,0.38215058813,
 ,0.04,0.976900461917,-7.60350423314,0.284000644455,144.933510675,0.352112822538,153.984385271,0.390283295103,158.579890607,0.123622910172,53.4770971438,49.9999724534,0.140618153612,
 ,0.06,0.976901195428,-7.6032329321,0.284013971702,144.932038077,0.352110030452,153.985886932,0.390275622698,158.580898023,0.123623954819,53.4805676518,49.9999654855,0.0517659021375,
 ,0.08,0.976902935259,-7.60290283597,0.284028243152,144.930155748,0.352107833853,153.987716479,0.390268369138,158.582125092,0.123625815609,53.4844359453,49.9999581345,0.0190805803334,
 ,0.1,0.972396071789,-8.04645372374,0.317411239889,145.835016524,0.311040224961,153.137190772,0.375067529665,158.248547509,0.121224297543,55.2253166564,50.0430694111,-0.179049357476,
 ,0.12,0.972117997511,-8.11853674577,0.320913221377,146.108189254,0.307530941665,152.745462981,0.372680910311,158.089392278,0.120588366411,55.5674197291,50.0225887383,0.0307437345947,
 ,0.14,0.972081548884,-8.18394110071,0.324635827148,146.202205662,0.304523551966,152.516937102,0.37025718562,158.000832484,0.120340549105,56.0221876125,50.0143925016,0.0489400060287,
 ,0.16,0.972291009041,-8.26151497824,0.328686449819,146.329960069,0.30148262295,152.215556336,0.367672382459,157.872219074,0.120110335692,56.5336932267,50.0124833252,0.0259127968352,
 ,0.18,0.976944126452,-8.03294477796,0.305252927358,146.682470369,0.332273290584,151.81164715,0.377076921884,157.658656766,0.120766984449,55.5548518011,49.9641396986,0.396250511201,
 ,0.2,0.977582001501,-8.06104776369,0.305306744443,146.25576915,0.333581606424,152.145323986,0.377012631221,157.717124033,0.121569799124,55.6927334373,49.9892359494,0.0237908342841,
 ,0.22,0.978130718901,-8.14216541147,0.305502767298,146.392327111,0.333586717246,151.891685728,0.376695929206,157.509430347,0.121434698571,55.6514853738,50.0034317218,-0.0588148548349,
 ,0.24,0.978324881461,-8.24630975109,0.30524096742,146.575497878,0.333241437341,151.580916416,0.376523999956,157.253476102,0.121099179653,55.4324930663,50.0107606258,-0.0566194991903,
 ,0.26,0.978209068607,-8.36553288306,0.304769701199,146.715883465,0.332637591054,151.294244232,0.376410819707,156.99976046,0.120723933371,55.1094274368,50.0148032893,-0.0402593625277,
 ,0.28,0.977886387231,-8.49499078285,0.304356366921,146.79489438,0.331811270917,151.046256434,0.376248479018,156.765038801,0.120363912606,54.7574532176,50.0171750922,-0.0262357075683,
 ,0.3,0.977462774476,-8.63051724186,0.304170831542,146.808613968,0.330838395346,150.840834226,0.375974480721,156.556416344,0.120045271352,54.437047267,50.0185477612,-0.0162274298765,
 ,0.32,0.977026617895,-8.76869047322,0.30428463776,146.758942473,0.329819330179,150.679225754,0.375572189375,156.375894818,0.119778158311,54.1888109004,50.0192447313,-0.00924491170996,
 ,0.34,0.976640534127,-8.9069495797,0.304684305849,146.651254375,0.328864266,150.561553674,0.375062168038,156.22202415,0.119561320455,54.0328298322,50.0194661976,-0.00435345278739,
 ,0.36,0.976339640436,-9.04357161286,0.305291881705,146.492744185,0.32808158519,150.487393234,0.374490878481,156.091211632,0.119386018357,53.9710868124,50.0193611368,-0.000965423973463,
 ,0.38,0.976134257311,-9.17753790644,0.305989397417,146.290889709,0.32756827879,150.456128851,0.37391911572,155.978956584,0.119239699904,53.9917642008,50.0190456402,0.00129803978482,
 ,0.4,0.976015445343,-9.30834178645,0.306643681969,146.052212998,0.327402376391,150.467117478,0.3734117345,155.880937951,0.119109254479,54.0743128803,50.018605961,0.00272609709133,
 ,0.42,0.975961874768,-9.43578071508,0.307128088698,145.781491841,0.327637978873,150.519673163,0.373029714293,155.793864212,0.118983779716,54.1943241534,50.0180993668,0.00357037702524,
 ,0.44,0.975946697252,-9.55976264765,0.307338563002,145.481431605,0.328303440705,150.612952814,0.372825046575,155.716027537,0.118856790675,54.3275283926,50.0175563324,0.00405693607729,
 ,0.46,0.975943389634,-9.68014572225,0.307202828073,145.152709038,0.32940273351,150.745844759,0.372838353366,155.647539167,0.118727708965,54.4525805118,50.0169844475,0.00438212176899,
 ,0.48,0.975929933987,-9.79662310411,0.306682910904,144.794276235,0.330919377367,150.916924341,0.373098673904,155.590253767,0.118602425273,54.552598524,50.0163736453,0.00470461673559,
 ,0.5,0.975891115993,-9.90865887496,0.305772365807,144.403835129,0.332821866959,151.124479249,0.373624588915,155.547420377,0.118492807358,54.6156439748,50.0157022239,0.00513875185784,
 ,0.52,0.975819085951,-10.015474549,0.304490145859,143.978420785,0.335069403327,151.366563136,0.374425825967,155.523128438,0.118415207189,54.6344513347,50.0149430509,0.00575140169469,
 ,0.54,0.97571257676,-10.1160790897,0.302873106945,143.51504344,0.337616944149,151.641028922,0.375504667897,155.521644456,0.118388227369,54.6057355069,50.0140692491,0.00656374734109,
 ,0.56,0.97557528919,-10.2093295596,0.300968749398,143.011334373,0.340418969554,151.945516716,0.376856783803,155.5467498,0.11843015537,54.5293580984,50.0130586825,0.00755821656896,
 ,0.58,0.97541394934,-10.2940063589,0.298829220004,142.466131378,0.343431770234,152.277404856,0.378471420829,155.601185372,0.118556516132,54.4075457966,50.0118967555,0.00868965510901,
 ,0.6,0.975236451893,-10.3688872018,0.296507005551,141.879939021,0.346614391434,152.633756566,0.38033115469,155.686283541,0.118778127423,54.2442578001,50.0105773728,0.00989867183287,
 ,0.62,0.975050368238,-10.4328072066,0.294052276393,141.255212634,0.349928566938,153.011299942,0.38241154939,155.801827579,0.119099903199,54.0447168941,50.0091022643,0.011124626605,
 ,0.64,0.974861957401,-10.4846975266,0.291511540761,140.596439867,0.353338057535,153.406467465,0.384681107528,155.946134993,0.119520488122,53.8150647121,50.0074791417,0.0123160497103,
 ,0.66,0.974675695108,-10.5236003282,0.288927147497,139.910021338,0.356807796918,153.815501667,0.387101815878,156.116324711,0.120032665213,53.5620805403,50.0057192706,0.0134371742974,
 ,0.68,0.97449424595,-10.5486624549,0.28633719248,139.203974947,0.360303175482,154.234614695,0.389630440078,156.30870604,0.120624382246,53.2929102652,50.0038350073,0.0144703185391,
 ,0.7,0.974318750754,-10.5591131573,0.283775493828,138.487503791,0.363789684722,154.66017689,0.392220540685,156.519220986,0.121280193432,53.014777006,50.001837715,0.0154147089025,
 ,0.72,0.974149284695,-10.5542327262,0.281271452394,137.770476738,0.367233022467,155.088904594,0.394825013898,156.743877215,0.121982899709,52.7346747356,49.999736311,0.0162828109329,
 ,0.74,0.973985355201,-10.5333189774,0.278849763044,137.062876449,0.370599639875,155.518019166,0.397398838602,156.979121494,0.12271517939,52.4590699645,49.9975365358,0.0170953403729,
 ,0.76,0.973826342237,-10.4956576795,0.276530056657,136.374273413,0.373857611147,155.945355696,0.399901656878,157.222118258,0.123461022032,52.1936484725,49.9952409118,0.0178759870654,
 ,0.78,0.973671825099,-10.4405015344,0.274326616917,135.713384816,0.376977639652,156.369409031,0.402299830915,157.470912826,0.124206810852,51.9431436911,49.9928492794,0.0186466362025,
 ,0.8,0.97352177834,-10.3670605188,0.272248329259,135.087770808,0.379933987993,156.78931486,0.404567694686,157.724473233,0.12494194527,51.7112740355,49.9903597438,0.019423614577,
 ,0.82,0.973376647349,-10.2745044981,0.270298991718,134.503705393,0.382705136265,157.20477319,0.406687835242,157.982618681,0.125658956025,51.5008026624,49.9877698451,0.0202152679258,
 ,0.84,0.973237328757,-10.1619772216,0.268478061575,133.966235313,0.385274027518,157.615929166,0.408650375913,158.245855819,0.12635313582,51.3137179841,49.9850777587,0.0210209941075,
 ,0.86,0.973105084467,-10.0286192623,0.26678183876,133.4794116,0.387627841158,158.023230859,0.410451373934,158.515154715,0.127021777774,51.1515180809,49.9822833476,0.0218317023576,
 ,0.88,0.972981415424,-9.87359631472,0.26520500573,133.046651057,0.389757328406,158.427284627,0.412090572201,158.791702338,0.127663168352,51.0155672466,49.979388918,0.0226315265672,
 ,0.9,0.972867917115,-9.69612864584,0.263742364824,132.671164881,0.391655830787,158.828726081,0.413568843294,159.076670964,0.128275509689,50.9074792889,49.976399577,0.0234004856024,
 ,0.92,0.972766136114,-9.49551748553,0.262390552369,132.356382891,0.393318165773,159.22811938,0.414885718231,159.37103196,0.128855943573,50.829472473,49.9733231527,0.024117667002,
