Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.01307451569,72.9298159685,2.54389536053,162.873629022,2.32251226776,-130.240956362,2.50101102744,72.8974708358,2.50101102744,72.8974708358,50.0,-8.02677922045,
 ,0.02,1.01306961182,72.9304352898,2.54389666736,162.873489045,2.32246888166,-130.241565401,2.50099892108,72.8980901571,2.50099892108,72.8980901571,49.9999587628,-2.95270179834,
 ,0.04,1.01307003209,72.9309642338,2.54389866778,162.873506618,2.32243572468,-130.24150243,2.50099995861,72.898619101,2.50099995861,72.898619101,49.9999359952,-1.08612403084,
 ,0.06,1.01307290951,72.9316267225,2.54390284302,162.873468393,2.32239329206,-130.241236818,2.50100706221,72.8992815897,2.50100706221,72.8992815897,49.9999151377,-0.399459449216,
 ,0.08,1.0130767845,72.9324245333,2.54390845663,162.873370114,2.32234321907,-130.240898627,2.50101662852,72.9000794006,2.50101662852,72.9000794006,49.9998997516,-0.146878185972,
 ,0.1,0.884442590661,75.403257506,0.85616421627,164.895019939,1.90340015071,-109.744154507,2.18345308081,75.3709123733,2.18345308081,75.3709123733,49.7992213399,0.932463495289,
 ,0.12,0.87539428571,76.4219238211,0.743274285091,171.379281026,1.91611399561,-107.064990661,2.16111522697,76.3895786884,2.16111522697,76.3895786884,49.8134744681,0.268512648097,
 ,0.14,0.873118943158,77.4218219673,0.686536168266,177.796473762,1.93638898639,-104.902534528,2.15549801251,77.3894768345,2.15549801251,77.3894768345,49.8110532548,0.121192301682,
 ,0.16,0.873599360046,78.5795904915,0.655220907982,-174.961550972,1.96419565704,-102.760199446,2.15668403379,78.5472453588,2.15668403379,78.5472453588,49.7899129396,0.155997913122,
 ,0.18,0.988134737065,78.7144786251,2.09207814562,179.219312442,2.36004471368,-117.635794739,2.43944135966,78.6821334924,2.43944135966,78.6821334924,49.9012827565,-0.912185119017,
 ,0.2,1.01217557022,79.0836595252,2.28970805322,178.355014113,2.42425895464,-118.777783048,2.49879177062,79.0513143925,2.49879177062,79.0513143925,49.8885151005,-0.22093694357,
 ,0.22,1.02387281235,80.0293171154,2.37545230337,179.68470507,2.47783708737,-118.340573078,2.52766914449,79.9969719826,2.52766914449,79.9969719826,49.8504542202,0.0979255006252,
 ,0.24,1.02946037235,81.0467434496,2.42718000406,-178.803588299,2.51955452253,-117.678591426,2.54146334123,81.0143983169,2.54146334123,81.0143983169,49.8422404706,0.0671286743778,
 ,0.26,1.03088090031,82.0596130776,2.45807084444,-177.456909166,2.54771083704,-116.970268195,2.54497024622,82.0272679448,2.54497024622,82.0272679448,49.8510457235,-0.0234995939843,
 ,0.28,1.02963154457,83.0572293069,2.47507751698,-176.372622036,2.56241769406,-116.24397089,2.54188591982,83.0248841742,2.54188591982,83.0248841742,49.864644748,-0.0773298010843,
 ,0.3,1.02698280045,84.0437736086,2.48403730147,-175.574594855,2.56505148179,-115.50638691,2.53534687638,84.0114284759,2.53534687638,84.0114284759,49.8768595549,-0.0886321673616,
 ,0.32,1.02386189115,85.0259458644,2.48909934558,-175.061034081,2.55731051482,-114.762700895,2.52764218296,84.9936007317,2.52764218296,84.9936007317,49.8854956293,-0.0744599022172,
 ,0.34,1.02085075323,86.008752925,2.49285354998,-174.820314317,2.54086317638,-114.022040735,2.5202084858,85.9764077923,2.5202084858,85.9764077923,49.8905546373,-0.0515388070809,
 ,0.36,1.01824591801,86.9940343272,2.49677200014,-174.837095913,2.51723015447,-113.298153838,2.51377784174,86.9616891945,2.51377784174,86.9616891945,49.8930427212,-0.030684737926,
 ,0.38,1.01614002785,87.98043789,2.50167399821,-175.093700165,2.48777369017,-112.607716362,2.5085789601,87.9480927573,2.5085789601,87.9480927573,49.8942150364,-0.0168969528602,
 ,0.4,1.01449870112,88.9641420753,2.50805624123,-175.569154783,2.45372476558,-111.967667729,2.50452696177,88.9317969426,2.50452696177,88.9317969426,49.8951634883,-0.0110848201562,
 ,0.42,1.01322126743,89.9398261152,2.51625623202,-176.237664202,2.41621525789,-111.392578801,2.50137331838,89.9074809825,2.50137331838,89.9074809825,49.8966579256,-0.0119375480442,
 ,0.44,1.01218396835,90.9015725145,2.52649198553,-177.067673547,2.37630408954,-110.892673325,2.49881250335,90.8692273818,2.49881250335,90.8692273818,49.8991414139,-0.0173471998973,
 ,0.46,1.01126870309,91.8435493655,2.53884227729,-178.022039883,2.33499603497,-110.472752978,2.49655295733,91.8112042328,2.49655295733,91.8112042328,49.9027942767,-0.0252488848733,
 ,0.48,1.01038093074,92.7604352878,2.55321774595,-179.059275961,2.29325354298,-110.131992699,2.49436128394,92.728090155,2.49436128394,92.728090155,49.9076117746,-0.0339824947329,
 ,0.5,1.00945924071,93.6476162451,2.569347597,179.864488968,2.25200093348,-109.864403304,2.49208587687,93.6152711124,2.49208587687,93.6152711124,49.913469308,-0.0423571679787,
 ,0.52,1.00847808695,94.5012133398,2.5867862022,178.793277165,2.21212003982,-109.659698914,2.48966366967,94.4688682071,2.48966366967,94.4688682071,49.9201681941,-0.0495770340042,
 ,0.54,1.00744490097,95.3180070723,2.60493455806,177.769144711,2.17443766309,-109.504331788,2.48711300881,95.2856619396,2.48711300881,95.2856619396,49.9274643421,-0.0551297614049,
 ,0.56,1.00639308239,96.0953169817,2.62307104281,176.830448919,2.13970728102,-109.382528075,2.48451634901,96.062971849,2.48451634901,96.062971849,49.9350848831,-0.0586870921384,
 ,0.58,1.00537271943,96.8308832049,2.64038873646,176.010661451,2.10858908135,-109.277236711,2.48199734474,96.7985380722,2.48199734474,96.7985380722,49.9427374523,-0.0600329968369,
 ,0.6,1.0044409329,97.5227818506,2.65603856686,175.337791381,2.08163277471,-109.170965321,2.4796970121,97.4904367178,2.4796970121,97.4904367178,49.9501157807,-0.0590200066074,
 ,0.62,1.00365337004,98.169390593,2.66917751368,174.834390042,2.05926672639,-109.046513691,2.47775272925,98.1370454603,2.47775272925,98.1370454603,49.9569045878,-0.0555507859802,
 ,0.64,1.0030577483,98.7694060504,2.67901994491,174.518022898,2.04179522647,-108.887630461,2.4762822979,98.7370609177,2.4762822979,98.7370609177,49.962786421,-0.0495821584668,
 ,0.66,1.00268970345,99.3219025997,2.68488914706,174.402030013,2.02940385704,-108.679618532,2.47537369322,99.2895574669,2.47537369322,99.2895574669,49.9674525352,-0.0411475764652,
 ,0.68,1.00257071738,99.8264153643,2.6862658073,174.496371807,2.02217141493,-108.409904329,2.47507994832,99.7940702316,2.47507994832,99.7940702316,49.9706187898,-0.0303907244647,
 ,0.7,1.00270766319,100.283028812,2.68283042673,174.808372204,2.0200859216,-108.06856905,2.47541803104,100.250683679,2.47541803104,100.250683679,49.9720459852,-0.017599613755,
 ,0.72,1.00309347586,100.692455582,2.67449693263,175.343214357,2.02306188589,-107.648819975,2.47637049971,100.660110449,2.47637049971,100.660110449,49.971562487,-0.00322946386763,
 ,0.74,1.00370855202,101.056095638,2.66143482224,176.104097904,2.03095607502,-107.14736141,2.47788895887,101.023750506,2.47788895887,101.023750506,49.969085884,0.0120952207637,
 ,0.76,1.00452261424,101.376071323,2.64407703489,177.092019314,2.04357949606,-106.56461298,2.47989866155,101.343726191,2.47989866155,101.343726191,49.9646400735,0.027604333006,
 ,0.78,1.00549688398,101.655237921,2.62311068552,178.305185478,2.06070403674,-105.904722043,2.48230387395,101.622892788,2.48230387395,101.622892788,49.9583646138,0.0424308940896,
 ,0.8,1.0065864718,101.897171309,2.59944817306,179.738119729,2.08206320636,-105.175329546,2.48499377593,101.864826176,2.48499377593,101.864826176,49.9505142533,0.0556789581975,
 ,0.82,1.00774291559,102.106134558,2.57417733756,-178.619425538,2.10734755458,-104.38707434,2.48784872749,102.073789425,2.48784872749,102.073789425,49.9414479868,0.0665012222571,
 ,0.84,1.00891679572,102.287024604,2.54849146664,-176.783574263,2.1361964497,-103.552856574,2.49074672473,102.254679472,2.49074672473,102.254679472,49.9316084828,0.0741753636517,
 ,0.86,1.01006034246,102.445299242,2.52360297471,-174.777218488,2.16818873522,-102.686919653,2.49356983691,102.412954109,2.49356983691,102.412954109,49.9214940132,0.0781687361345,
 ,0.88,1.01112993504,102.586884263,2.50064807877,-172.630436445,2.2028351345,-101.803843652,2.49621037597,102.55453913,2.49621037597,102.55453913,49.9116258861,0.0781834408126,
