Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),
Configuration Field Inputs,50,50,9,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.969943896469,-7.25328495939,0.281113082942,106.902718294,0.241839268333,91.6974513288,0.241839268333,91.6974513288,0.819285019536,155.586183762,0.799004089023,-9.00648678842,1.52406597029,162.78848257,1.52406597029,162.78848257,0.395928928107,150.471427184,50.0,-7.24659103748,
 ,0.02,0.969938934983,-7.25308028139,0.281120009138,106.902578701,0.241839319449,91.6988872392,0.241839319449,91.6988872392,0.81927834256,155.586853288,0.798999282532,-9.00589480788,1.5240516738,162.788726133,1.5240516738,162.788726133,0.39592542801,150.472060638,49.9999817081,-2.66579054021,
 ,0.04,0.969937597292,-7.25285496076,0.281126694173,106.902550066,0.241836506338,91.699798659,0.241836506338,91.699798659,0.819281171503,155.587337171,0.798996843942,-9.0054275356,1.52404205756,162.78892239,1.52404205756,162.78892239,0.395926539419,150.472561859,49.9999736189,-0.980649329596,
 ,0.06,0.969938790133,-7.25254790044,0.281131725983,106.902287899,0.24183047828,91.7003813632,0.24183047828,91.7003813632,0.819293395997,155.587426351,0.798998007877,-9.00493834431,1.52403674394,162.789262994,1.52403674394,162.789262994,0.395932380134,150.472738326,49.999965876,-0.360721809843,
 ,0.08,0.969941524686,-7.25216528224,0.28113370706,106.901672703,0.241821941649,91.7008794035,0.241821941649,91.7008794035,0.819311705237,155.587189902,0.799002668888,-9.00445241608,1.52403548927,162.789710656,1.52403548927,162.789710656,0.395941346141,150.472638756,49.9999583749,-0.132664561982,
 ,0.1,0.967171354089,-7.47889419424,0.273981503151,104.833252052,0.227980182925,83.6987541176,0.227980182925,83.6987541176,0.836908808659,155.402191644,0.798474678342,-9.24593984925,1.54559031697,162.440613582,1.54559031697,162.440613582,0.404030817576,150.422798938,49.395454065,2.52766851956,
 ,0.12,0.966831775124,-7.52368721556,0.274488076727,104.500311313,0.227815675555,82.7758748738,0.227815675555,82.7758748738,0.839067890239,155.460003171,0.798169646589,-9.2521771971,1.54694992312,162.417198545,1.54694992312,162.417198545,0.404956179757,150.493047253,49.673026107,-0.358635114119,
 ,0.14,0.966783866267,-7.5701081016,0.275351578289,104.331574465,0.227875795438,82.0589379826,0.227875795438,82.0589379826,0.841403243365,155.497189024,0.797808925937,-9.26557354346,1.54747552539,162.39206468,1.54747552539,162.39206468,0.405981182068,150.542846887,49.7658392523,-0.552064493674,
 ,0.16,0.966959730294,-7.62783867318,0.27640838988,104.168876997,0.22843676273,81.3152185063,0.22843676273,81.3152185063,0.84438917461,155.536396893,0.797592469471,-9.2937002209,1.54792567021,162.367387504,1.54792567021,162.367387504,0.407302409441,150.597118638,49.7831752708,-0.272359296062,
 ,0.18,0.969668645329,-7.53637674387,0.284502143062,105.345132881,0.241991774993,86.8415307097,0.241991774993,86.8415307097,0.83407190929,155.891377764,0.798301711799,-9.12606278169,1.53168151724,162.696179365,1.53168151724,162.696179365,0.402376085485,150.857162518,50.2932534047,-4.18241750485,
