Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),
Configuration Field Inputs,50,50,3,0,0,15,V1,v,10000,I2,c,100,I3,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.94437526004,78.1096380318,0.137848709689,111.270646573,0.375206659855,-110.889277328,50.0,-8.0862487064,
 ,0.02,0.944374553438,78.1097568264,0.137849430708,111.270856905,0.375206842227,-110.889049131,49.9999836988,-2.97468914322,
 ,0.04,0.944374608575,78.1098799987,0.137849849926,111.270968947,0.375207186897,-110.888886847,49.9999744596,-1.09428122546,
 ,0.06,0.94437502005,78.1100343611,0.137850258254,111.271089225,0.375207663581,-110.888706072,49.9999662472,-0.402522545435,
 ,0.08,0.944375608945,78.1102238735,0.137850686266,111.271216356,0.375208251846,-110.88849849,49.9999588227,-0.148042781481,
 ,0.1,0.882168157785,80.0904557815,0.159206237866,119.249125855,0.362672722784,-103.818511008,49.8901813376,0.465024039776,
 ,0.12,0.877662717555,80.8032985406,0.163310582237,120.615173024,0.363164355436,-102.362430394,49.8923269116,0.170609984982,
 ,0.14,0.877157010174,81.6117931684,0.165382795094,121.641916655,0.364114834987,-101.249153703,49.8771313214,0.142163016265,
 ,0.16,0.878140781917,82.5706461787,0.167440165573,122.680632306,0.365738530695,-100.063945339,49.8586400511,0.146147849461,
 ,0.18,0.9343646336,82.5100713495,0.157308220505,118.398223163,0.382078019362,-103.567790759,49.9331350601,-0.597259133948,
 ,0.2,0.947332647545,83.0023554808,0.149829887797,117.033495856,0.383518857746,-104.588058068,49.9107609042,-0.106692970514,
 ,0.22,0.952419093241,83.7431290971,0.149649479472,117.19411044,0.385846698574,-104.113386443,49.9031957574,-0.00883325864928,
 ,0.24,0.954121694779,84.4813399811,0.149917306323,117.323409215,0.387583878927,-103.552891571,49.9075164806,-0.0270663107838,
 ,0.26,0.953946091988,85.2032013954,0.149798140573,117.347782679,0.388630962403,-103.044213763,49.912539329,-0.0339690400368,
 ,0.28,0.952858160485,85.9183389676,0.148954560997,117.366190156,0.388844983414,-102.59763533,49.9129541699,-0.0122327674989,
 ,0.3,0.951517561382,86.6365044392,0.147178152161,117.482616309,0.388089795841,-102.203722,49.907775283,0.0236851615219,
 ,0.32,0.950316162978,87.364413869,0.144370106564,117.776621666,0.386285053511,-101.849373615,49.8983332459,0.057520148906,
 ,0.34,0.949432980932,88.1056478611,0.140536509242,118.298899289,0.383428435564,-101.522618793,49.8868337836,0.0793666005659,
 ,0.36,0.948899694523,88.861353424,0.135775064919,119.074327198,0.379598327595,-101.214113329,49.8754305086,0.0861240300912,
 ,0.38,0.948662150911,89.6311542571,0.130255907266,120.107404288,0.37494388477,-100.916695058,49.8657428809,0.0794552413284,
 ,0.4,0.948628751993,90.4139884216,0.124200245492,121.387717587,0.36966771614,-100.623844389,49.8587159731,0.0633672396837,
 ,0.42,0.948703060168,91.2087371128,0.117859485551,122.894159413,0.364005446475,-100.327854543,49.8546905176,0.0423181175528,
 ,0.44,0.948802299089,92.01460546,0.111496302914,124.597213867,0.35820554106,-100.018369985,49.8535639576,0.0201047481079,
 ,0.46,0.948865355558,92.8312765465,0.105368262421,126.45914851,0.352511787718,-99.6817164361,49.8549618277,-0.000574303144945,
 ,0.48,0.948854031977,93.6588896937,0.0997140876112,128.432574323,0.347149754183,-99.3011835668,49.8583790512,-0.0181187223101,
 ,0.5,0.948750527405,94.4979032748,0.0947425864844,130.458615798,0.342317540862,-98.8581821003,49.8632791171,-0.0318136758136,
 ,0.52,0.948553152712,95.3488995252,0.0906244274596,132.466660677,0.338180386404,-98.3340153053,49.8691541671,-0.0415579062291,
 ,0.54,0.948271501276,96.2123794805,0.0874871843871,134.377827887,0.334868240831,-97.7119014364,49.8755548577,-0.0476157593022,
 ,0.56,0.947921798961,97.0885836234,0.0854140227265,136.113296815,0.332475301134,-96.9788649696,49.8820998076,-0.0504271504818,
 ,0.58,0.947522876445,97.9773602244,0.0844458796488,137.60638985,0.331060644568,-96.1271724197,49.8884732568,-0.0504815330579,
 ,0.6,0.947093032574,98.8780902411,0.0845861445111,138.814803161,0.330649390926,-95.1551030812,49.8944176137,-0.0482481102355,
 ,0.62,0.946647913343,99.789666253,0.0858062020563,139.728391525,0.33123415984,-94.066988075,49.8997254313,-0.0441487231947,
 ,0.64,0.946199394757,100.710514494,0.0880502918762,140.369459503,0.332776863121,-92.8725909447,49.9042333563,-0.038558460005,
 ,0.66,0.945755341353,101.638644605,0.0912389798199,140.785747567,0.335211024928,-91.5860103556,49.9078189247,-0.0318202666514,
 ,0.68,0.945320034494,102.571711573,0.0952715654965,141.039143224,0.338444841796,-90.2243399221,49.9103998778,-0.0242626787746,
 ,0.7,0.944895033925,103.507077731,0.100028331152,141.194057671,0.342365108302,-88.8063162503,49.9119349823,-0.0162134143166,
 ,0.72,0.944480245385,104.441868125,0.105373475524,141.308418946,0.346841992873,-87.3511343079,49.9124251185,-0.00800521813809,
 ,0.74,0.944075000968,105.373018206,0.111159127191,141.428450321,0.351734502884,-85.8775310049,49.9119135312,2.65888176671e-05,
 ,0.76,0.943679001245,106.297317091,0.1172303626,141.58692067,0.356896364744,-84.4031581853,49.9104844793,0.00755330398961,
 ,0.78,0.943293009416,107.211451791,0.123430870152,141.803831773,0.362181979568,-82.9442046372,49.9082599187,0.0142661736555,
 ,0.8,0.942919226362,108.112057738,0.129608815492,142.088438755,0.3674520996,-81.5151929687,49.9053942303,0.0198910690157,
 ,0.82,0.942561314838,108.995779104,0.135622495515,142.441762993,0.372578898878,-80.1288711359,49.9020672816,0.0242020936324,
 ,0.84,0.942224085041,109.859339774,0.141345443986,142.859083565,0.377450175663,-78.7961332324,49.8984763044,0.0270323218218,
 ,0.86,0.941912901012,110.699623079,0.146670731139,143.332149539,0.381972514758,-77.5259303326,49.8948271736,0.0282805064112,
