Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.823420286064,72.3950902921,0.0281198027691,162.395090292,50.0,-8.03181462919,
 ,0.02,0.823419227246,72.395286233,0.0281197666105,162.395286233,49.9999644497,-2.95458868505,
 ,0.04,0.823419309623,72.3954998877,0.0281197694236,162.395499888,49.9999560899,-1.08689152987,
 ,0.06,0.823419896091,72.3957675309,0.0281197894515,162.395767531,49.9999472837,-0.39979992098,
 ,0.08,0.823420703867,72.3960856633,0.0281198170371,162.396085663,49.9999367224,-0.147024472142,
 ,0.1,0.755426297486,75.354157769,0.0257978080591,165.354157769,49.5544731315,2.20267939454,
 ,0.12,0.752006513638,76.2237967042,0.0256810224407,166.223796704,49.6345845654,0.369907171082,
 ,0.14,0.752219572861,77.2469315857,0.0256882984132,167.246931586,49.7013244639,-0.174473120604,
 ,0.16,0.753732243324,78.4473953163,0.0257399561095,168.447395316,49.7172893506,-0.128870412686,
 ,0.18,0.81738770279,77.7557385926,0.0279137900503,167.755738593,50.0132919865,-2.42878505892,
 ,0.2,0.829442545888,78.4059860885,0.0283254629421,168.405986088,50.0219340234,-0.777034570077,
 ,0.22,0.83435535307,79.2277688984,0.0284932353074,169.227768898,49.9220909233,0.199689008595,
 ,0.24,0.835776756881,79.9750855035,0.0285417762475,169.975085503,49.8671604735,0.332865818384,
 ,0.26,0.835197738739,80.6523422778,0.0285220027779,170.652342278,49.8443562787,0.227504783215,
 ,0.28,0.833634563199,81.2899219261,0.0284686203333,171.289921926,49.8395187963,0.102649567168,
 ,0.3,0.831788011497,81.9149949205,0.0284055605926,171.914994921,49.8448381017,0.00790105673239,
 ,0.32,0.830071971313,82.5469130447,0.0283469578203,172.546913045,49.8560576276,-0.0553367456857,
 ,0.34,0.82867170216,83.197224398,0.0282991386288,173.197224398,49.8706460236,-0.0947305017269,
 ,0.36,0.827616647202,83.8712702097,0.028263108502,173.87127021,49.8869472446,-0.117277781042,
 ,0.38,0.826849493822,84.5702431055,0.028236910214,174.570243106,49.9037853343,-0.127858868473,
 ,0.4,0.826280229911,85.2930732924,0.0282174698515,175.293073292,49.9202688716,-0.129644818018,
 ,0.42,0.825821534795,86.0378293937,0.0282018054132,176.037829394,49.9356915172,-0.124705584142,
 ,0.44,0.82540715641,86.8025614828,0.0281876543914,176.802561483,49.949485415,-0.114487835473,
 ,0.46,0.824997564176,87.5856625189,0.0281736668166,177.585662519,49.9612048972,-0.100135882752,
 ,0.48,0.824577665407,88.3858897488,0.0281593272737,178.385889749,49.9705253415,-0.082680704638,
 ,0.5,0.824150612113,89.2021955076,0.0281447434037,179.202195508,49.9772464399,-0.0631281316011,
 ,0.52,0.823730515005,90.0334933664,0.0281303970874,-179.966506634,49.9812932364,-0.0424781582825,
 ,0.54,0.823335746723,90.878449476,0.0281169157506,-179.121550524,49.9827118707,-0.0217047691271,
 ,0.56,0.822983674265,91.7353515921,0.0281048924762,-178.264648408,49.981659365,-0.00171860721112,
 ,0.58,0.822687117583,92.6020756904,0.0280947650654,-177.39792431,49.9783879758,0.0166737495632,
 ,0.6,0.822452503769,93.4761448522,0.0280867530037,-176.523855148,49.9732251625,0.0328062971587,
 ,0.62,0.822279489895,94.3548578587,0.0280808445799,-175.645142141,49.966550658,0.0461808961964,
 ,0.64,0.822161713168,95.2354555866,0.0280768225047,-174.764544413,49.9587725796,0.0564812692881,
 ,0.66,0.822088276217,96.1152913555,0.0280743146328,-173.884708645,49.9503047358,0.0635712561834,
 ,0.68,0.822045581146,96.9919757526,0.0280728565961,-173.008024247,49.9415470313,0.0674779287927,
 ,0.7,0.822019179075,97.8634752895,0.0280719549654,-172.136524711,49.9328701475,0.0683635841122,
 ,0.72,0.821995385802,98.7281551142,0.0280711424251,-171.271844886,49.9246047379,0.0664928288673,
 ,0.74,0.821962509191,99.5847665245,0.0280700196889,-170.415233475,49.9170345562,0.062201055322,
 ,0.76,0.821911622488,100.432388365,0.028068281908,-169.567611635,49.9103924727,0.0558687877306,
 ,0.78,0.821836888932,101.270336577,0.028065729757,-168.729663423,49.90485829,0.0479036019193,
 ,0.8,0.821735493886,102.098058076,0.0280622671162,-167.901941924,49.9005575607,0.0387286655209,
 ,0.82,0.821607273648,102.915024282,0.0280578883951,-167.084975718,49.8975610782,0.0287751712496,
 ,0.84,0.821454149292,103.720636793,0.0280526591983,-166.279363207,49.8958851761,0.0184753383671,
 ,0.86,0.821279480956,104.514153783,0.0280466942747,-165.485846217,49.8954933091,0.00825316158678,
 ,0.88,0.821087451752,105.294641627,0.0280401364773,-164.705358373,49.8962994993,-0.00148861570315,
 ,0.9,0.820882568889,106.060952577,0.0280331397276,-163.939047423,49.8981741165,-0.0103851661342,
 ,0.92,0.820669334007,106.811726734,0.0280258577563,-163.188273266,49.9009521434,-0.0181281893894,
 ,0.94,0.820452091634,107.545414985,0.0280184389293,-162.454585015,49.9044436641,-0.02448374271,
 ,0.96,0.820235024309,108.260319096,0.0280110260802,-161.739680904,49.9084459102,-0.0293062868357,
 ,0.98,0.820022235347,108.954645149,0.0280037593371,-161.045354851,49.9127559039,-0.0325464199899,
 ,1.0,0.819817851092,109.626566769,0.0279967796148,-160.373433231,49.9171826068,-0.0342507792724,
 ,1.02,0.819626083476,110.274294756,0.0279902307507,-159.725705244,49.9215575171,-0.0345537974367,
 ,1.04,0.81945121527,110.896149866,0.0279842590015,-159.103850134,49.9257428354,-0.0336621217428,
 ,1.06,0.819297496844,111.490635569,0.0279790095172,-158.509364431,49.9296365821,-0.0318333639999,
 ,1.08,0.819168967588,112.056507849,0.0279746202431,-157.943492151,49.9331743721,-0.0293514182417,
 ,1.1,0.819069232551,112.592839284,0.0279712142916,-157.407160716,49.9363278922,-0.0265008820627,
 ,1.12,0.819001233348,113.099074755,0.0279688921188,-156.900925245,49.9391004562,-0.0235431724847,
 ,1.14,0.81896705177,113.575075972,0.0279677248179,-156.424924028,49.9415203058,-0.0206967239967,
 ,1.16,0.818967776114,114.021151657,0.0279677495543,-155.978848343,49.9436325327,-0.0181231643505,
 ,1.18,0.819003446554,114.438069968,0.0279689676998,-155.561930032,49.9454905951,-0.0159205843976,
 ,1.2,0.819073080548,114.827049885,0.0279713457007,-155.172950115,49.9471483528,-0.014124030319,
 ,1.22,0.819174766512,115.189729295,0.0279748182764,-154.810270705,49.9486533713,-0.0127123157765,
 ,1.24,0.819305807187,115.528109265,0.0279792933155,-154.471890735,49.9500419618,-0.0116193961834,
 ,1.26,0.819462894364,115.844476515,0.0279846578425,-154.155523485,49.9513361158,-0.0107480711972,
 ,1.28,0.819642302115,116.141308659,0.0279907846172,-153.858691341,49.9525422028,-0.00998380122529,
 ,1.3,0.819840092369,116.421168919,0.0279975391544,-153.578831081,49.9536511169,-0.00920692022661,
 ,1.32,0.82005232992,116.68659822,0.0280047870668,-153.31340178,49.9546394904,-0.00830234332707,
 ,1.34,0.820275301325,116.940012661,0.0280124015402,-153.059987339,49.9554716478,-0.00716675341579,
 ,1.36,0.820505723981,117.183613318,0.028020270474,-152.816386682,49.9561021059,-0.00571394152753,
 ,1.38,0.82074092151,117.41931365,0.0280283024696,-152.58068635,49.9564785703,-0.00387927750002,
 ,1.4,0.820978934589,117.648687676,0.0280364306162,-152.351312324,49.9565454794,-0.0016241396597,
 ,1.42,0.821218537065,117.872940202,0.0280446130408,-152.127059798,49.9562481585,0.00105937454405,
 ,1.44,0.82145913782,118.092898776,0.0280528295566,-151.907101224,49.9555375615,0.00414379488798,
 ,1.46,0.82170056845,118.309025985,0.0280610744126,-151.690974015,49.9543754282,0.00756258600906,
 ,1.48,0.821942781035,118.52145008,0.0280693459723,-151.47854992,49.9527395148,0.0112085939197,
 ,1.5,0.822185503053,118.730011472,0.0280776349293,-151.269988528,49.9506284239,0.0149357009221,
 ,1.52,0.822427911324,118.93432225,0.0280859131717,-151.06567775,49.9480655087,0.0185643105496,
 ,1.54,0.8226683892,119.133835312,0.0280941254912,-150.866164688,49.9451013658,0.0218906380426,
 ,1.56,0.82290441939,119.327919048,0.0281021859222,-150.672080952,49.9418145633,0.0246991200449,
 ,1.58,0.823132640969,119.515932822,0.0281099796891,-150.484067178,49.9383104326,0.0267767413978,
 ,1.6,0.823349068628,119.697298097,0.0281173706937,-150.302701903,49.9347179606,0.0279278070981,
 ,1.62,0.82354944205,119.871560117,0.028124213446,-150.128439883,49.9311850044,0.0279876884425,
 ,1.64,0.82372965041,120.038435719,0.0281303675615,-149.961564281,49.9278721936,0.0268343053836,
 ,1.66,0.823886166131,120.197844099,0.0281357125734,-149.802155901,49.9249459712,0.0243964936514,
 ,1.68,0.824016424686,120.349918981,0.028140160903,-149.650081019,49.9225712434,0.0206588538587,
