Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),
Configuration Field Inputs,50,50,7,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.985649744682,-6.72787746284,0.706476216253,-20.5900636131,0.706476216253,-20.5900636131,0.706476216253,-20.5900636131,0.706476216253,-20.5900636131,0.109287814661,74.7559081102,0.109287814661,74.7559081102,50.0,1.72485670362,
 ,0.02,0.985645865958,-6.72764164626,0.706466722268,-20.5904162957,0.706466722268,-20.5904162957,0.706466722268,-20.5904162957,0.706466722268,-20.5904162957,0.10927721373,74.7608955814,0.10927721373,74.7608955814,49.9999743817,0.634647432109,
 ,0.04,0.985645009294,-6.72742268016,0.70646507618,-20.5905048577,0.70646507618,-20.5905048577,0.70646507618,-20.5905048577,0.70646507618,-20.5905048577,0.109270095756,74.7626519717,0.109270095756,74.7626519717,49.9999683047,0.233503722727,
 ,0.06,0.985645985808,-6.7271532783,0.706464822705,-20.5905464746,0.706464822705,-20.5905464746,0.706464822705,-20.5905464746,0.706464822705,-20.5905464746,0.109263407748,74.7646700758,0.109263407748,74.7646700758,49.9999615473,0.0859358390901,
 ,0.08,0.985647879843,-6.72683187414,0.706463385344,-20.5905697761,0.706463385344,-20.5905697761,0.706463385344,-20.5905697761,0.706463385344,-20.5905697761,0.109256684675,74.7680718295,0.109256684675,74.7680718295,49.9999536953,0.0316537812828,
 ,0.1,0.981430388315,-7.18193097229,0.730771072887,-21.2968525327,0.730771072887,-21.2968525327,0.730771072887,-21.2968525327,0.730771072887,-21.2968525327,0.105771682072,54.9578393506,0.105771682072,54.9578393506,50.0638872769,-0.262274813744,
 ,0.12,0.981269346992,-7.25881403647,0.732604682889,-21.4028217758,0.732604682889,-21.4028217758,0.732604682889,-21.4028217758,0.732604682889,-21.4028217758,0.105737761047,53.7039220886,0.105737761047,53.7039220886,50.0318154076,0.0547509188694,
 ,0.14,0.981345676545,-7.32579005011,0.734321749298,-21.5291988172,0.734321749298,-21.5291988172,0.734321749298,-21.5291988172,0.734321749298,-21.5291988172,0.105296473103,52.4355390044,0.105296473103,52.4355390044,50.0188285209,0.079987470471,
 ,0.16,0.981657028102,-7.40396135855,0.736426674423,-21.6340566101,0.736426674423,-21.6340566101,0.736426674423,-21.6340566101,0.736426674423,-21.6340566101,0.105456107248,51.1210731767,0.105456107248,51.1210731767,50.0152588939,0.044913709651,
 ,0.18,0.986221821068,-7.17090404823,0.719835019061,-20.9756737792,0.719835019061,-20.9756737792,0.719835019061,-20.9756737792,0.719835019061,-20.9756737792,0.109105406853,66.546248391,0.109105406853,66.546248391,49.9413133262,0.605344745263,
 ,0.2,0.986797745258,-7.1919287321,0.719129935142,-21.0748104119,0.719129935142,-21.0748104119,0.719129935142,-21.0748104119,0.719129935142,-21.0748104119,0.108205371564,66.8827330198,0.108205371564,66.8827330198,49.9794947686,0.0375952307549,
 ,0.22,0.987297740438,-7.27229415479,0.71985738797,-21.0648030225,0.71985738797,-21.0648030225,0.71985738797,-21.0648030225,0.71985738797,-21.0648030225,0.109601940472,66.7472774561,0.109601940472,66.7472774561,50.0002064286,-0.0843019123229,
 ,0.24,0.987441090022,-7.37767735152,0.720442320403,-21.0825866478,0.720442320403,-21.0825866478,0.720442320403,-21.0825866478,0.720442320403,-21.0825866478,0.110885847533,66.5387170335,0.110885847533,66.5387170335,50.0102331132,-0.0785789916043,
 ,0.26,0.987286099107,-7.49894572939,0.720880002404,-21.1441584348,0.720880002404,-21.1441584348,0.720880002404,-21.1441584348,0.720880002404,-21.1441584348,0.111660435857,66.2363796188,0.111660435857,66.2363796188,50.0153475878,-0.053326082583,
 ,0.28,0.986940535214,-7.6307309703,0.721253475335,-21.2440244433,0.721253475335,-21.2440244433,0.721253475335,-21.2440244433,0.721253475335,-21.2440244433,0.111937106256,65.8450981115,0.111937106256,65.8450981115,50.0181142701,-0.0328526450183,
 ,0.3,0.986508319423,-7.76864423818,0.721581392613,-21.3722304693,0.721581392613,-21.3722304693,0.721581392613,-21.3722304693,0.721581392613,-21.3722304693,0.111820331091,65.4167228884,0.111820331091,65.4167228884,50.0195680435,-0.0189794471573,
 ,0.32,0.986072662651,-7.90920124873,0.721835172567,-21.5189608894,0.721835172567,-21.5189608894,0.721835172567,-21.5189608894,0.721835172567,-21.5189608894,0.111426267698,65.0220115205,0.111426267698,65.0220115205,50.0201731653,-0.00974024405674,
 ,0.34,0.985690259325,-8.0498523084,0.721962313138,-21.6762605695,0.721962313138,-21.6762605695,0.721962313138,-21.6762605695,0.721962313138,-21.6762605695,0.110852550737,64.7318707362,0.110852550737,64.7318707362,50.0201909496,-0.0034731677769,
 ,0.36,0.985391081218,-8.18890228018,0.721903691809,-21.8386568928,0.721903691809,-21.8386568928,0.721903691809,-21.8386568928,0.721903691809,-21.8386568928,0.110167052921,64.6058849113,0.110167052921,64.6058849113,50.0198034137,0.00080649915009,
 ,0.38,0.985181871649,-8.32534397033,0.721605403089,-22.0031335916,0.721605403089,-22.0031335916,0.721605403089,-22.0031335916,0.721605403089,-22.0031335916,0.109407601699,64.686181662,0.109407601699,64.686181662,50.0191497506,0.00366961326765,
 ,0.4,0.985051897148,-8.45865312063,0.721026282543,-22.1686957154,0.721026282543,-22.1686957154,0.721026282543,-22.1686957154,0.721026282543,-22.1686957154,0.108588118493,64.9956306521,0.108588118493,64.9956306521,50.0183357373,0.00549253608485,
 ,0.42,0.984979626723,-8.58858294028,0.720141795432,-22.3357228856,0.720141795432,-22.3357228856,0.720141795432,-22.3357228856,0.720141795432,-22.3357228856,0.107707458133,65.5394942391,0.107707458133,65.5394942391,50.0174366814,0.00656605745835,
 ,0.44,0.984939181354,-8.71498203434,0.718944775766,-22.5052792634,0.718944775766,-22.5052792634,0.718944775766,-22.5052792634,0.718944775766,-22.5052792634,0.106758146261,66.3094207159,0.106758146261,66.3094207159,50.0164999219,0.00713665554888,
 ,0.46,0.984905675274,-8.83764901545,0.717443626511,-22.6785077677,0.717443626511,-22.6785077677,0.717443626511,-22.6785077677,0.717443626511,-22.6785077677,0.105733353654,67.2885105601,0.105733353654,67.2885105601,50.0155482075,0.00741708269048,
 ,0.48,0.98485892846,-8.95623071751,0.715658841521,-22.8561852213,0.715658841521,-22.8561852213,0.715658841521,-22.8561852213,0.715658841521,-22.8561852213,0.104631500519,68.4562575463,0.104631500519,68.4562575463,50.0145841194,0.00758501383206,
 ,0.5,0.984785404776,-9.07016655169,0.713618860299,-23.0384646154,0.713618860299,-23.0384646154,0.713618860299,-23.0384646154,0.713618860299,-23.0384646154,0.103458599552,69.7924531104,0.103458599552,69.7924531104,50.0135954279,0.00777794564005,
 ,0.52,0.984678552115,-9.17867708939,0.711356190992,-23.2247903883,0.711356190992,-23.2247903883,0.711356190992,-23.2247903883,0.711356190992,-23.2247903883,0.102228771444,71.2795443025,0.102228771444,71.2795443025,50.0125610171,0.0080886777071,
 ,0.54,0.98453793794,-9.28079003538,0.708904449677,-23.4139475849,0.708904449677,-23.4139475849,0.708904449677,-23.4139475849,0.708904449677,-23.4139475849,0.100963410589,72.903347335,0.100963410589,72.903347335,50.0114567288,0.00856436512598,
 ,0.56,0.984367666421,-9.37539240722,0.706296577254,-23.6041960329,0.706296577254,-23.6041960329,0.706296577254,-23.6041960329,0.706296577254,-23.6041960329,0.0996893991592,74.6523626621,0.0996893991592,74.6523626621,50.0102603522,0.0092107851418,
 ,0.58,0.984174544824,-9.46129535012,0.703564142165,-23.7934428265,0.703564142165,-23.7934428265,0.703564142165,-23.7934428265,0.703564142165,-23.7934428265,0.0984366830839,76.516169565,0.0984366830839,76.516169565,50.0089551151,0.0100016407686,
 ,0.6,0.983966371557,-9.53729834049,0.700737408601,-23.9794156141,0.700737408601,-23.9794156141,0.700737408601,-23.9794156141,0.700737408601,-23.9794156141,0.0972354878835,78.4834822823,0.0972354878835,78.4834822823,50.0075313809,0.010891046365,
 ,0.62,0.983750587378,-9.6022423159,0.697845771025,-24.1598110715,0.697845771025,-24.1598110715,0.697845771025,-24.1598110715,0.697845771025,-24.1598110715,0.0961134659191,80.5404305479,0.0961134659191,80.5404305479,50.0059866571,0.0118264922929,
 ,0.64,0.983533399391,-9.65504549225,0.694918198321,-24.3324045907,0.694918198321,-24.3324045907,0.694918198321,-24.3324045907,0.694918198321,-24.3324045907,0.0950930972727,82.6695044374,0.0950930972727,82.6695044374,50.0043243344,0.0127597809799,
 ,0.66,0.98331937728,-9.6947200465,0.691983442282,-24.4951171542,0.691983442282,-24.4951171542,0.691983442282,-24.4951171542,0.691983442282,-24.4951171542,0.0941896722373,84.8494076192,0.0941896722373,84.8494076192,50.0025517192,0.0136543694779,
 ,0.68,0.98311144377,-9.72037147571,0.689069895911,-24.6460429531,0.689069895911,-24.6460429531,0.689069895911,-24.6460429531,0.689069895911,-24.6460429531,0.0934101324062,87.0558359548,0.0934101324062,87.0558359548,50.0006778975,0.0144887151543,
 ,0.7,0.982911139122,-9.73118480907,0.686205103871,-24.7834462522,0.686205103871,-24.7834462522,0.686205103871,-24.7834462522,0.686205103871,-24.7834462522,0.0927529313246,89.26298871,0.0927529313246,89.26298871,49.9987118423,0.0152561504586,
 ,0.72,0.982719029517,-9.72640292741,0.683415014429,-24.9057381898,0.683415014429,-24.9057381898,0.683415014429,-24.9057381898,0.683415014429,-24.9057381898,0.0922089135442,91.4454740486,0.0922089135442,91.4454740486,49.9966610107,0.0159623037526,
 ,0.74,0.982535144385,-9.70530228438,0.680723114608,-25.0114438939,0.680723114608,-25.0114438939,0.680723114608,-25.0114438939,0.680723114608,-25.0114438939,0.091763041447,93.5802187803,0.091763041447,93.5802187803,49.9945305311,0.0166211672274,
 ,0.76,0.982359358835,-9.66717065706,0.678149608889,-25.0991681842,0.678149608889,-25.0991681842,0.678149608889,-25.0991681842,0.678149608889,-25.0991681842,0.0913966654571,95.6480361725,0.0913966654571,95.6480361725,49.9923229715,0.0172507480015,
 ,0.78,0.982191673971,-9.6112904685,0.675710790047,-25.1675652423,0.675710790047,-25.1675652423,0.675710790047,-25.1675652423,0.675710790047,-25.1675652423,0.0910899660956,97.6346186723,0.0910899660956,97.6346186723,49.9900386092,0.0178689902569,
 ,0.8,0.982032381078,-9.53692993089,0.673418714161,-25.2153149935,0.673418714161,-25.2153149935,0.673418714161,-25.2153149935,0.673418714161,-25.2153149935,0.0908242046243,99.5308632339,0.0908242046243,99.5308632339,49.9876760794,0.0184904291103,
 ,0.82,0.981882119663,-9.44334290032,0.671281238003,-25.2411072125,0.671281238003,-25.2411072125,0.671281238003,-25.2411072125,0.671281238003,-25.2411072125,0.090583490613,101.332566754,0.090583490613,101.332566754,49.9852332532,0.0191238637937,
 ,0.84,0.981741852134,-9.32977702337,0.669302415652,-25.2436336611,0.669302415652,-25.2436336611,0.669302415652,-25.2436336611,0.669302415652,-25.2436336611,0.0903558854542,103.039623878,0.0903558854542,103.039623878,49.9827081889,0.0197712051493,
 ,0.86,0.981612781444,-9.19548859474,0.667483192156,-25.2215884923,0.667483192156,-25.2215884923,0.667483192156,-25.2215884923,0.667483192156,-25.2215884923,0.0901337848854,104.654912007,0.0901337848854,104.654912007,49.9800999991,0.020427532044,
 ,0.88,0.981496236108,-9.03976164066,0.66582228513,-25.1736771005,0.66582228513,-25.1736771005,0.66582228513,-25.1736771005,0.66582228513,-25.1736771005,0.0899136401983,106.183062829,0.0899136401983,106.183062829,49.9774094995,0.0210822625851,
 ,0.9,0.981393543363,-8.86192820383,0.664317117479,-25.0986330742,0.664317117479,-25.0986330742,0.664317117479,-25.0986330742,0.664317117479,-25.0986330742,0.0896951724317,107.629304354,0.0896951724317,107.629304354,49.9746395404,0.021721207366,
